group,fold,validation_score
Tuned,53,0.737
Tuned,54,0.730
Tuned,55,0.715
Tuned,56,0.721
Tuned,57,0.716
Tuned,58,0.736
Tuned,59,0.722
Tuned,60,0.781
Tuned,61,0.720
Tuned,62,0.771
Tuned,63,0.716
Tuned,64,0.694
Tuned,65,0.712
Tuned,66,0.803
Tuned,67,0.761
Tuned,68,0.737
Tuned,69,0.801
Tuned,70,0.749
Tuned,71,0.720
Tuned,72,0.761
Ours,1,0.779
Ours,2,0.741
Ours,3,0.751
Ours,4,0.788
Ours,5,0.851
Ours,6,0.815
Ours,7,0.869
Ours,8,0.808
Ours,9,0.688
Ours,10,0.775
Ours,11,0.780
Ours,12,0.780
Ours,13,0.815
Ours,14,0.800
Ours,15,0.783
Ours,16,0.741
Ours,17,0.815
Ours,18,0.778
Ours,19,0.837
Ours,20,0.698
Ours,21,0.744
Ours,22,0.767
Ours,23,0.777
Ours,24,0.811
Ours,25,0.803
Ours,26,0.744
Ours,27,0.804
Ours,28,0.750
Ours,29,0.843
Ours,30,0.760
Ours,31,0.800
Ours,32,0.767
Ours,33,0.799
Ours,34,0.710
Ours,35,0.735
Ours,36,0.767
Ours,37,0.785
Ours,38,0.746
Ours,39,0.799
Ours,40,0.796
Ours,41,0.762
Ours,42,0.751
Ours,43,0.780
Ours,44,0.688
Ours,45,0.823
Ours,46,0.813
Ours,47,0.694
Ours,48,0.727
Ours,49,0.745
Ours,50,0.763
Ours,51,0.754
Ours,52,0.782
Ours,53,0.753
Ours,54,0.791
Ours,55,0.767
Ours,56,0.769
Ours,57,0.796
Ours,58,0.870
Ours,59,0.846
Ours,60,0.797
Ours,61,0.824
Ours,62,0.815
Ours,63,0.812
Ours,64,0.738
Ours,65,0.767
Ours,66,0.817
Ours,67,0.729
Ours,68,0.745
Ours,69,0.771
Ours,70,0.790
Ours,71,0.794
Ours,72,0.771
