interval,residual_demand_gw,clearing_price_eur_mwh
395,11.20,20.74
396,19.52,46.82
397,20.21,25.56
398,23.14,39.24
399,31.78,87.85
400,11.63,21.66
401,37.12,129.95
402,22.69,39.98
403,31.51,52.03
404,13.74,11.53
405,20.33,27.99
406,19.07,11.62
407,31.36,58.19
408,23.49,59.31
409,32.67,60.68
410,18.30,33.88
411,24.20,31.29
412,11.44,13.69
413,22.85,28.73
414,20.85,41.29
415,22.51,37.65
416,29.08,67.64
417,27.20,45.97
418,20.29,39.31
419,34.84,88.43
420,10.39,32.05
421,30.76,70.28
422,26.11,59.29
423,29.66,80.93
424,20.48,32.47
425,24.71,49.43
426,23.60,26.27
427,20.74,30.15
428,31.29,77.81
429,9.33,0.84
430,15.19,18.44
431,24.26,33.48
432,17.49,11.18
433,35.22,69.00
434,30.48,61.21
435,15.18,41.50
436,23.84,25.46
437,25.79,54.61
438,15.66,49.85
439,32.81,110.90
440,18.78,60.14
441,12.32,18.59
442,26.35,57.03
443,35.58,97.36
444,10.16,8.89
445,24.00,70.70
446,22.69,49.17
447,9.94,21.11
448,10.27,17.65
449,31.73,93.75
450,16.64,15.86
451,27.62,87.59
452,12.67,4.28
453,25.39,57.24
454,18.52,36.54
455,21.80,44.10
456,26.14,20.57
457,14.21,39.19
458,13.03,36.97
459,11.85,34.01
460,10.86,20.34
461,17.57,49.20
462,21.30,33.34
463,30.19,71.02
464,9.49,30.73
465,28.22,64.51
466,21.67,34.96
467,23.65,48.38
468,24.85,71.99
469,28.78,53.64
470,23.77,44.54
471,26.83,48.99
472,12.79,47.64
473,10.77,27.33
474,21.13,31.68
475,38.49,159.03
476,24.86,52.05
477,20.39,46.51
478,23.05,44.04
479,27.86,82.81
480,23.22,42.98
481,21.06,35.83
482,28.83,89.39
483,30.61,75.56
484,14.26,29.11
485,18.38,33.49
486,26.68,47.03
487,26.14,11.31
488,14.29,34.34
489,33.60,71.51
490,13.52,36.38
491,18.06,34.22
492,29.05,63.96
493,21.01,44.22
494,35.35,96.39
495,30.85,60.36
496,27.42,58.12
497,23.30,48.98
498,10.23,24.99
499,19.88,29.43
500,22.60,47.98
501,12.10,16.55
502,15.30,30.24
503,18.51,23.35
504,14.96,30.48
505,25.66,33.78
506,32.84,72.97
507,35.12,72.53
508,21.93,52.13
509,21.97,49.79
510,25.23,41.01
511,20.17,61.67
512,17.84,38.80
513,24.47,47.11
514,14.37,41.59
515,24.37,62.47
516,27.03,66.55
517,31.89,61.08
518,33.81,91.58
519,15.01,102.40
520,16.24,41.83
521,25.61,70.24
522,35.59,93.65
523,28.36,52.68
524,22.97,57.01
525,29.75,80.75
526,23.34,22.04
527,25.44,78.57
528,20.44,42.86
529,20.31,28.71
530,21.33,41.91
531,20.88,32.35
532,14.28,43.36
533,11.11,27.66
534,19.45,29.79
535,12.87,16.99
536,16.46,41.80
537,26.14,29.23
538,19.85,31.07
539,22.39,51.50
540,20.28,29.53
541,17.62,42.65
542,14.60,31.82
543,16.91,43.82
544,14.02,23.00
545,19.08,47.78
546,21.31,46.69
547,22.20,37.80
548,14.61,58.06
549,38.40,128.99
550,29.17,39.03
551,23.10,35.13
552,20.08,37.02
553,17.95,38.69
554,21.90,59.06
555,20.16,43.27
556,17.39,46.66
557,12.47,34.33
558,18.40,16.01
559,26.31,49.90
560,15.35,16.11
561,16.81,23.22
562,27.08,48.26
563,21.40,29.48
564,29.49,52.60
565,33.70,106.03
566,21.04,36.40
567,30.22,86.34
568,23.43,49.34
569,25.48,42.82
570,12.20,15.46
571,23.21,46.27
572,12.42,29.96
573,11.34,23.41
574,26.48,70.62
575,28.38,51.18
576,11.89,16.18
577,10.13,37.53
578,29.55,76.27
579,13.43,57.08
580,5.85,-5.65
581,27.69,60.51
582,15.14,37.19
583,27.50,69.52
584,32.27,61.24
585,24.16,27.17
586,35.07,97.17
587,29.38,87.37
588,20.65,50.30
589,14.83,29.04
590,22.06,35.58
591,28.65,44.52
592,29.74,51.94
593,25.46,35.73
594,33.60,86.77
595,18.19,24.29
596,36.19,110.89
597,28.60,71.47
598,32.75,98.01
599,19.26,17.72
600,16.81,48.38
601,16.48,46.58
602,24.31,56.79
603,7.26,-27.38
604,14.56,26.71
605,14.69,1.65
606,15.39,18.48
607,32.34,63.87
608,11.38,0.09
609,28.68,38.81
610,14.80,25.09
611,26.55,43.57
612,13.66,30.94
613,26.07,47.02
614,31.85,85.36
615,17.99,24.73
616,12.53,13.30
617,16.37,58.10
618,23.49,7.46
619,19.30,52.15
620,19.61,50.68
621,18.48,43.02
622,16.08,7.36
623,10.25,11.37
624,11.17,22.56
625,37.09,73.45
626,13.05,30.34
627,37.28,121.32
628,20.27,34.48
629,19.87,26.59
630,18.84,41.37
631,11.26,29.76
632,10.45,13.15
633,24.00,54.46
634,11.71,31.31
635,13.94,34.60
636,29.51,40.82
637,7.62,-6.74
638,10.88,-4.03
639,18.88,39.48
640,25.44,48.84
641,20.71,40.71
642,27.86,54.53
643,20.18,19.61
644,10.71,15.36
645,23.39,67.68
646,22.37,46.97
647,14.32,51.86
648,30.70,66.50
649,17.77,19.79
650,13.47,27.96
651,11.59,17.63
652,28.27,57.11
653,12.23,45.33
654,21.17,11.45
655,16.78,34.68
656,30.79,47.61
657,28.84,67.99
658,26.42,52.06
659,20.55,27.31
660,13.76,37.70
661,31.73,74.56
662,21.13,66.21
663,35.79,97.49
664,24.79,65.02
665,29.49,70.93
666,13.55,44.90
667,14.14,25.95
668,34.72,99.47
669,29.38,75.16
670,23.13,42.94
671,33.60,91.86
672,22.29,19.03
673,29.15,54.31
674,8.93,-6.67
675,20.26,54.52
676,29.85,59.43
677,20.11,58.35
678,24.22,54.41
679,24.51,36.67
680,24.76,37.28
681,7.81,63.82
682,16.21,41.95
683,11.68,10.62
684,21.31,37.80
685,22.84,58.53
686,26.84,49.06
687,12.65,29.67
688,32.81,67.67
689,30.34,105.43
690,25.15,31.74
691,33.77,100.76
692,33.35,74.98
693,20.15,37.04
694,32.06,81.36
695,16.34,25.47
696,30.92,47.67
697,9.78,11.37
698,22.40,38.93
699,7.72,-11.02
700,19.51,33.00
701,28.93,42.55
702,30.17,47.39
703,32.99,92.05
704,11.97,23.45
705,15.60,37.07
706,25.11,41.76
707,37.44,98.00
708,27.49,36.53
709,20.00,34.65
710,13.39,29.04
711,14.16,29.34
712,15.30,22.05
713,17.88,30.02
714,26.11,71.97
715,31.97,63.22
716,15.91,52.52
717,16.66,40.38
718,26.18,43.88
719,23.35,34.91
720,29.25,71.71
721,35.91,65.31
722,19.90,29.85
723,7.27,-17.31
724,11.15,16.00
725,24.36,39.85
726,24.67,40.68
727,17.78,30.94
728,23.01,53.10
729,15.45,37.29
730,23.90,60.60
731,9.28,-3.53
732,11.53,32.83
733,8.00,15.70
734,20.88,57.02
735,23.01,41.63
736,24.12,68.52
737,13.42,28.28
738,23.55,27.55
739,16.32,43.22
740,24.51,40.46
741,23.22,28.64
742,7.66,8.26
743,14.86,45.49
744,22.65,52.82
745,21.99,36.06
746,12.21,16.23
747,27.77,71.27
748,15.65,40.71
749,36.35,123.26
750,28.09,43.77
751,25.47,44.83
752,26.56,62.02
753,28.22,53.36
754,17.37,34.55
755,27.06,46.36
756,14.31,20.77
757,15.95,31.79
758,10.79,10.36
759,7.93,13.14
760,13.79,27.84
761,33.42,106.53
762,29.91,41.82
763,16.81,25.62
764,36.56,129.19
765,32.98,64.84
766,26.62,56.27
767,17.88,51.60
768,17.06,43.57
769,34.49,87.56
770,26.58,57.46
771,15.72,30.25
772,19.24,29.17
773,33.62,94.40
774,30.10,56.60
775,11.55,15.83
776,29.61,62.66
777,13.43,39.63
778,8.79,8.74
779,33.15,66.79
780,13.28,30.40
781,28.23,77.13
782,12.70,28.70
783,12.96,28.23
784,24.95,35.33
785,15.34,21.39
786,32.05,54.75
787,24.61,43.14
788,29.94,42.82
789,27.40,59.71
790,19.85,35.11
791,18.12,28.92
792,21.28,53.32
793,20.76,41.80
794,29.50,65.91
795,32.77,81.78
796,25.37,33.09
797,29.05,62.62
798,25.15,45.50
799,15.06,42.06
800,24.11,58.57
801,34.00,131.48
802,10.86,-4.43
803,24.20,29.79
804,29.66,61.38
805,30.78,99.74
806,27.59,62.74
807,11.84,41.42
808,15.17,34.39
809,20.56,43.16
810,17.27,51.07
811,14.91,16.49
812,30.71,88.04
813,32.04,60.28
814,21.24,28.44
815,31.87,80.64
816,25.35,42.00
817,22.54,66.71
818,28.04,57.44
819,19.93,33.60
820,10.27,8.35
821,34.64,103.85
822,21.61,29.19
823,27.91,46.09
824,28.68,38.68
825,20.23,50.78
826,29.03,71.47
827,19.47,26.92
828,16.46,29.54
829,17.15,45.32
830,12.65,9.20
831,18.97,39.40
832,11.98,27.67
833,19.95,38.97
834,27.99,50.47
835,16.50,33.83
836,8.90,34.82
837,27.39,64.91
838,17.64,17.62
839,21.33,61.31
840,12.11,30.46
841,14.89,19.63
842,28.26,73.93
843,32.61,90.57
844,7.24,16.48
845,22.46,58.57
846,20.18,47.40
847,9.38,6.60
848,21.97,20.49
849,31.55,82.56
850,15.44,17.76
851,20.15,46.08
852,18.93,39.79
853,33.29,75.41
854,29.01,65.36
855,15.43,38.52
856,17.95,34.85
857,36.96,120.27
858,10.22,36.88
859,16.00,24.84
860,26.10,45.94
861,28.81,47.55
862,33.39,110.16
863,31.87,109.29
864,21.85,27.76
865,17.40,43.98
866,20.66,45.64
867,23.06,46.81
868,10.32,17.91
869,16.49,27.67
870,27.74,45.59
871,26.39,55.10
872,30.26,99.02
873,8.46,29.62
874,30.55,88.90
875,17.74,44.04
876,26.56,61.30
877,18.15,34.23
878,14.64,30.52
879,29.62,20.95
880,13.61,20.55
881,17.79,40.95
882,9.95,7.29
883,19.34,45.24
884,27.24,46.26
885,15.82,37.09
886,21.25,25.59
887,19.18,25.10
888,17.20,30.96
889,30.63,48.29
890,29.03,43.07
891,20.46,48.08
892,15.84,48.84
893,21.70,25.10
894,17.36,29.73
895,23.28,51.56
896,26.83,55.34
897,17.69,32.68
898,15.51,33.03
899,26.46,34.03
900,24.68,28.24
901,28.86,57.46
902,27.83,74.20
903,32.16,98.84
904,26.13,47.27
905,20.91,51.07
906,23.00,46.55
907,24.26,57.02
908,17.41,127.66
909,30.37,67.43
910,20.37,38.04
911,16.05,11.85
912,14.96,26.97
913,25.07,40.28
914,16.66,35.76
915,20.00,31.93
916,15.88,51.57
917,29.37,57.86
918,18.62,34.25
919,34.80,93.75
920,13.06,15.70
921,15.75,24.63
922,15.70,25.02
923,28.45,82.69
924,32.19,77.53
925,12.61,14.64
926,12.71,41.20
927,14.39,23.71
928,25.08,54.71
929,25.38,45.93
930,11.72,8.78
931,8.94,9.27
932,11.77,25.33
933,16.08,33.21
934,34.07,74.29
935,35.46,67.24
936,24.08,26.42
937,23.28,65.10
938,26.12,74.75
939,22.90,57.75
940,17.05,42.09
941,25.46,47.17
942,22.76,52.33
943,36.17,117.42
944,6.23,-19.18
945,20.51,60.67
946,22.92,69.66
947,26.03,48.45
948,29.73,56.03
949,29.20,75.64
950,14.15,16.85
951,8.51,3.36
952,11.38,39.00
953,14.10,42.88
954,11.32,17.86
955,29.81,54.79
956,20.58,46.17
957,28.07,62.46
958,19.42,59.16
959,17.06,23.81
960,14.09,16.97
961,33.93,80.88
962,28.74,80.96
963,27.73,53.10
964,10.48,9.18
965,10.94,30.99
966,30.75,70.22
967,20.40,27.72
968,16.76,4.54
969,20.39,52.97
970,21.03,52.28
971,13.33,19.20
972,22.18,35.77
973,37.35,138.09
974,33.16,88.80
975,19.45,41.24
976,19.36,39.41
977,15.18,9.93
978,31.72,93.28
979,30.75,77.57
980,22.22,58.25
981,34.32,99.37
982,22.66,38.67
983,23.52,71.18
984,23.72,45.86
985,32.15,97.33
986,22.56,39.31
987,35.10,53.80
988,30.63,40.65
989,20.31,43.45
990,13.76,39.80
991,16.30,34.40
992,35.17,103.31
993,16.46,12.21
994,20.27,42.72
995,28.77,60.57
996,30.00,55.75
997,35.76,112.87
998,9.41,2.26
999,14.04,33.55
1000,15.36,19.65
1001,12.23,39.91
1002,20.10,48.93
1003,21.23,40.64
1004,15.79,30.14
1005,12.69,38.85
1006,30.61,75.78
1007,18.76,53.25
1008,32.81,60.91
1009,10.55,45.49
1010,27.35,17.20
1011,27.35,60.82
1012,24.50,58.77
1013,13.16,30.59
1014,22.73,46.13
1015,27.51,51.17
1016,11.69,23.50
1017,24.20,36.76
1018,15.33,38.64
1019,34.07,66.01
1020,22.28,49.94
1021,24.28,52.92
1022,24.24,66.41
1023,13.97,34.49
1024,20.60,54.20
1025,19.89,32.28
1026,13.93,5.30
1027,11.28,22.17
1028,32.57,107.72
1029,26.90,38.20
1030,28.28,76.37
1031,16.81,27.21
1032,28.16,71.55
1033,26.83,71.65
1034,13.69,39.33
1035,32.03,65.00
1036,27.64,59.21
1037,5.98,-6.56
1038,35.96,128.96
1039,11.85,7.64
1040,34.02,106.58
1041,11.68,30.01
1042,31.35,44.16
1043,38.48,132.65
1044,27.67,72.07
1045,33.20,101.49
1046,34.62,90.09
1047,15.25,25.78
1048,17.38,33.32
1049,24.64,30.30
1050,27.50,58.98
1051,16.62,31.81
1052,35.47,132.53
1053,22.71,46.48
1054,13.08,28.28
1055,20.87,50.91
1056,8.26,13.57
1057,14.36,31.10
1058,31.11,72.89
1059,31.89,68.98
1060,8.53,6.00
1061,25.82,45.66
1062,18.29,40.53
1063,18.21,31.40
1064,36.04,124.21
1065,28.83,38.74
1066,16.37,27.18
1067,23.86,54.27
1068,23.37,32.78
1069,24.38,64.84
1070,15.08,32.60
1071,15.99,27.45
1072,30.46,59.37
1073,32.32,97.69
1074,21.91,34.46
1075,12.87,23.37
1076,18.32,73.36
1077,24.92,70.44
1078,29.38,76.85
1079,37.57,144.75
1080,34.11,76.19
1081,13.34,31.17
1082,26.78,26.33
1083,15.71,22.80
1084,28.96,106.54
1085,31.89,32.97
1086,25.83,51.02
1087,18.00,37.02
1088,33.90,86.31
1089,18.87,33.33
1090,27.56,89.64
1091,18.89,18.80
1092,24.35,29.45
1093,32.71,93.41
1094,14.92,36.65
1095,27.09,47.81
1096,33.22,81.52
1097,32.13,78.18
1098,35.80,97.09
1099,29.14,72.84
1100,35.01,108.49
1101,29.69,35.54
1102,27.08,44.87
1103,26.25,41.61
1104,26.08,40.33
1105,33.66,117.45
1106,12.10,7.23
1107,12.00,36.72
1108,31.41,59.76
1109,12.24,28.41
1110,24.63,62.51
1111,17.78,51.96
1112,14.94,1.53
1113,23.75,42.90
1114,19.45,21.26
1115,18.24,38.27
1116,16.27,39.77
1117,16.54,14.41
1118,19.33,24.74
1119,34.36,105.38
1120,15.95,37.15
1121,20.14,20.28
1122,29.35,65.52
1123,34.67,68.51
1124,13.10,23.15
1125,26.12,73.16
1126,34.44,66.59
1127,23.67,49.28
1128,27.01,38.59
1129,5.85,5.28
1130,21.84,26.09
1131,14.89,43.63
1132,34.05,125.52
1133,11.85,12.19
1134,9.95,24.03
1135,17.03,21.17
1136,25.18,65.07
1137,22.52,33.61
1138,33.76,110.00
1139,19.07,42.51
1140,13.00,28.42
1141,22.41,51.72
1142,26.09,31.12
1143,10.87,13.98
1144,25.11,29.14
1145,23.44,47.02
1146,28.91,52.60
1147,14.86,25.13
1148,10.22,-4.40
1149,17.23,39.41
1150,32.67,82.26
1151,31.59,61.82
1152,33.36,97.96
1153,8.17,-8.30
1154,14.80,32.68
1155,30.23,83.17
1156,29.24,43.13
1157,33.68,90.27
1158,25.24,46.23
1159,22.18,45.71
1160,23.17,35.84
1161,23.58,22.47
1162,13.75,33.85
1163,7.70,1.35
1164,31.98,92.38
1165,15.92,53.19
1166,28.93,75.89
1167,8.91,15.28
1168,14.56,93.68
1169,9.52,27.49
1170,31.74,60.86
1171,19.39,36.36
1172,12.23,16.27
1173,18.13,29.73
1174,21.08,34.75
1175,25.33,37.14
1176,28.87,48.33
1177,16.27,24.25
1178,11.54,26.26
1179,33.02,93.01
1180,19.68,42.00
1181,28.61,55.71
1182,31.78,72.53
1183,17.91,30.20
1184,19.77,33.02
1185,11.15,37.41
1186,17.55,18.56
1187,21.80,49.43
1188,12.10,22.69
1189,27.69,64.73
1190,13.68,15.65
1191,25.95,41.98
1192,34.88,120.87
1193,11.80,18.48
1194,34.58,132.50
1195,6.10,-13.62
1196,26.80,66.84
1197,20.20,47.64
1198,34.44,90.92
1199,19.58,40.60
1200,21.68,28.26
1201,12.16,27.30
1202,17.67,45.02
1203,21.06,35.85
1204,17.45,30.16
1205,29.84,59.80
1206,12.81,21.92
1207,22.63,48.55
1208,35.26,83.40
1209,27.33,48.75
1210,28.13,78.59
1211,12.33,33.10
1212,22.87,44.99
1213,11.34,38.01
1214,15.26,30.80
1215,17.54,16.32
1216,12.71,7.38
1217,12.33,25.74
1218,25.23,26.34
1219,27.69,32.85
1220,30.69,60.86
1221,17.68,45.39
1222,29.59,65.26
1223,29.59,86.31
1224,14.77,36.45
1225,25.69,61.80
1226,20.94,41.02
1227,16.05,15.30
1228,15.37,40.15
1229,20.85,29.28
1230,20.85,17.13
1231,17.24,58.87
1232,32.10,76.09
1233,23.30,18.46
1234,25.47,57.14
1235,19.10,21.31
1236,12.90,17.58
1237,17.05,45.03
1238,19.62,21.21
1239,31.27,91.46
1240,11.06,17.48
1241,30.02,74.19
1242,36.21,124.89
1243,17.52,24.88
1244,30.87,80.32
1245,34.52,114.85
1246,11.63,40.55
1247,12.48,4.74
1248,32.68,92.31
1249,11.78,15.20
1250,25.54,46.42
1251,21.90,47.87
1252,30.47,76.06
1253,31.40,74.68
1254,22.08,63.99
1255,25.62,59.85
1256,15.01,33.30
1257,22.81,57.13
1258,24.26,41.50
1259,13.49,46.61
1260,25.79,56.55
1261,36.01,101.24
1262,26.88,33.26
1263,19.56,48.88
1264,31.20,56.00
1265,29.73,78.74
1266,29.07,45.75
1267,24.81,37.59
1268,13.40,32.52
1269,33.64,99.05
1270,18.62,47.81
1271,17.13,34.37
1272,29.95,52.46
1273,35.05,112.48
1274,21.35,28.96
1275,32.19,100.22
1276,23.05,40.22
1277,28.49,79.03
1278,24.62,47.21
1279,21.48,36.79
1280,15.27,14.56
1281,23.83,26.77
1282,7.01,-3.31
1283,30.05,71.45
1284,22.39,50.27
1285,10.80,18.16
1286,24.56,53.65
1287,14.16,42.63
1288,29.48,76.71
1289,17.93,47.58
1290,17.63,37.52
1291,28.76,46.54
1292,27.64,70.72
1293,18.46,22.28
1294,29.87,69.27
1295,21.06,28.32
1296,14.22,18.59
1297,15.03,36.36
1298,23.14,22.58
1299,32.12,60.03
1300,10.73,3.53
1301,13.51,6.75
1302,10.45,37.38
1303,31.15,70.52
1304,17.63,49.36
1305,28.35,62.06
1306,23.66,54.47
1307,16.38,28.30
1308,12.92,26.93
1309,21.94,45.90
1310,25.19,51.58
1311,9.12,24.37
1312,18.41,8.71
1313,30.29,52.23
1314,16.61,41.94
1315,7.74,11.75
1316,22.21,42.93
1317,15.42,48.20
1318,24.64,36.01
1319,30.31,80.89
1320,25.86,51.48
1321,14.52,26.40
1322,24.69,32.72
1323,28.66,151.42
1324,30.15,55.08
1325,30.94,69.42
1326,14.08,25.03
1327,28.15,42.37
1328,13.84,24.90
1329,30.48,92.34
1330,11.72,15.40
1331,20.26,57.80
1332,15.70,48.77
1333,20.33,28.22
1334,27.47,46.03
1335,33.43,106.21
1336,27.49,68.24
1337,22.56,51.36
1338,34.25,81.00
1339,18.89,44.34
1340,17.78,42.49
1341,31.08,70.02
1342,10.97,20.12
1343,23.55,67.23
1344,12.44,10.72
1345,19.49,53.22
1346,25.93,74.58
1347,11.08,24.44
1348,17.76,12.46
1349,13.52,11.24
1350,22.68,44.74
1351,14.96,29.49
1352,16.03,20.57
1353,11.69,31.35
1354,30.93,92.93
1355,9.51,4.69
1356,11.70,-7.18
