month,hour,envelope_mw,forecast_mw,actual_mw,in_curtailment_window
2025/11,05,1.1,0.6,0.6,0
2025/11,06,0.0,0.0,0.0,0
2025/11,07,0.9,0.4,0.4,0
2025/11,08,23.2,12.1,12.0,0
2025/11,09,59.5,30.1,29.6,0
2025/11,10,95.2,47.8,30.4,1
2025/11,11,126.5,61.9,39.5,1
2025/11,12,144.5,72.7,49.9,1
2025/11,13,145.9,73.9,45.4,1
2025/11,14,124.8,62.3,39.5,1
2025/11,15,95.2,46.7,31.5,1
2025/11,16,57.0,29.4,28.6,0
2025/11,17,22.6,11.5,11.8,0
2025/11,18,0.4,0.2,0.2,0
2025/11,19,0.6,0.3,0.3,0
2025/11,20,1.1,0.5,0.5,0
2025/12,05,2.1,1.0,0.9,0
2025/12,06,0.0,0.0,0.0,0
2025/12,07,0.1,0.0,0.0,0
2025/12,08,10.1,4.6,5.3,0
2025/12,09,44.0,20.6,19.7,0
2025/12,10,82.5,42.3,43.0,0
2025/12,11,117.0,56.8,35.3,1
2025/12,12,137.1,62.6,33.6,1
2025/12,13,135.2,63.6,38.5,1
2025/12,14,116.7,56.2,30.6,1
2025/12,15,83.8,39.6,38.6,0
2025/12,16,45.9,20.4,21.4,0
2025/12,17,9.7,4.5,4.7,0
2025/12,18,1.3,0.6,0.6,0
2025/12,19,0.0,0.0,0.0,0
2025/12,20,1.4,0.7,0.7,0
2026/01,05,0.9,0.4,0.4,0
2026/01,06,0.9,0.4,0.4,0
2026/01,07,0.0,0.0,0.0,0
2026/01,08,16.6,8.1,8.1,0
2026/01,09,53.1,27.3,28.4,0
2026/01,10,88.5,41.9,28.6,1
2026/01,11,122.2,56.5,38.7,1
2026/01,12,139.5,67.6,44.0,1
2026/01,13,140.6,65.0,42.9,1
2026/01,14,121.1,59.2,35.6,1
2026/01,15,90.0,44.7,30.2,1
2026/01,16,49.0,25.4,24.0,0
2026/01,17,15.2,7.3,7.3,0
2026/01,18,0.0,0.0,0.0,0
2026/01,19,0.4,0.2,0.2,0
2026/01,20,1.3,0.7,0.7,0
2026/02,05,0.3,0.2,0.2,0
2026/02,06,1.5,0.9,0.9,0
2026/02,07,1.6,0.9,0.9,0
2026/02,08,28.6,15.5,14.8,0
2026/02,09,63.1,34.4,33.6,0
2026/02,10,103.8,58.1,43.6,1
2026/02,11,131.0,75.4,50.8,1
2026/02,12,150.9,84.0,56.9,1
2026/02,13,149.1,85.1,65.0,1
2026/02,14,134.8,74.5,55.4,1
2026/02,15,101.6,55.1,39.4,1
2026/02,16,63.8,35.4,35.8,0
2026/02,17,27.4,15.0,14.4,0
2026/02,18,2.4,1.3,1.3,0
2026/02,19,0.0,0.0,0.0,0
2026/02,20,0.0,0.0,0.0,0
2026/03,05,0.1,0.1,0.1,0
2026/03,06,0.0,0.0,0.0,0
2026/03,07,13.0,7.8,8.6,0
2026/03,08,41.6,25.4,25.5,0
2026/03,09,77.9,47.6,52.9,0
2026/03,10,116.6,69.1,54.3,1
2026/03,11,144.6,85.5,69.5,1
2026/03,12,162.3,99.2,76.0,1
2026/03,13,160.9,98.1,78.7,1
2026/03,14,144.9,87.6,70.4,1
2026/03,15,117.1,70.8,54.0,1
2026/03,16,80.4,48.5,38.4,1
2026/03,17,42.4,26.1,27.1,0
2026/03,18,12.0,7.1,6.7,0
2026/03,19,0.0,0.0,0.0,0
2026/03,20,0.3,0.2,0.2,0
