family,split,validation_score
Ablated,35,0.759
Ablated,36,0.822
Ablated,37,0.765
Ablated,38,0.8
Ablated,39,0.749
Ablated,40,0.719
Ablated,41,0.797
Ablated,42,0.781
Ablated,43,0.744
Ablated,44,0.84
Ablated,45,0.765
Ablated,46,0.799
Ablated,47,0.787
Ablated,48,0.765
Ablated,49,0.775
Ablated,50,0.8
Ablated,51,0.798
Ablated,52,0.806
Ablated,53,0.771
Ablated,54,0.782
Ablated,55,0.773
Ablated,56,0.841
Ablated,57,0.742
Ablated,58,0.797
Ablated,59,0.844
Ablated,60,0.773
Ablated,61,0.784
Ablated,62,0.771
Ablated,63,0.725
Ablated,64,0.768
Ours,1,0.841
Ours,2,0.806
Ours,3,0.831
Ours,4,0.846
Ours,5,0.82
Ours,6,0.832
Ours,7,0.803
Ours,8,0.82
Ours,9,0.851
Ours,10,0.832
Ours,11,0.755
Ours,12,0.83
Ours,13,0.908
Ours,14,0.905
Ours,15,0.798
Ours,16,0.811
Ours,17,0.792
Ours,18,0.86
Ours,19,0.878
Ours,20,0.759
Ours,21,0.841
Ours,22,0.785
Ours,23,0.816
Ours,24,0.871
Ours,25,0.791
Ours,26,0.816
Ours,27,0.903
Ours,28,0.92
Ours,29,0.874
Ours,30,0.828
Ours,31,0.791
Ours,32,0.853
Ours,33,0.854
Ours,34,0.804
Ours,35,0.841
Ours,36,0.795
Ours,37,0.855
Ours,38,0.793
Ours,39,0.83
Ours,40,0.833
Ours,41,0.792
Ours,42,0.847
Ours,43,0.806
Ours,44,0.767
Ours,45,0.811
Ours,46,0.742
Ours,47,0.811
Ours,48,0.89
Ours,49,0.805
Ours,50,0.835
Ours,51,0.785
Ours,52,0.78
Ours,53,0.876
Ours,54,0.826
Ours,55,0.845
Ours,56,0.816
Ours,57,0.852
Ours,58,0.845
Ours,59,0.888
Ours,60,0.835
Ours,61,0.814
Ours,62,0.85
Ours,63,0.881
Ours,64,0.798
