group,replicate,score
Specialist,20,0.870
Specialist,21,0.841
Specialist,22,0.854
Specialist,23,0.718
Specialist,24,0.818
Specialist,25,0.876
Specialist,26,0.830
Specialist,27,0.705
Specialist,28,0.733
Specialist,29,0.755
Specialist,30,0.789
Specialist,31,0.770
Specialist,32,0.765
Specialist,33,0.704
Specialist,34,0.717
Specialist,35,0.850
Specialist,36,0.735
Specialist,37,0.851
Specialist,38,0.713
Specialist,39,0.857
Specialist,40,0.828
Specialist,41,0.857
Specialist,42,0.874
Specialist,43,0.790
Specialist,44,0.851
Specialist,45,0.762
Specialist,46,0.740
Specialist,47,0.730
Specialist,48,0.846
Specialist,49,0.822
Specialist,50,0.726
Specialist,51,0.730
Specialist,52,0.731
Specialist,53,0.702
Specialist,54,0.855
Specialist,55,0.830
Specialist,56,0.796
Specialist,57,0.775
Specialist,58,0.894
Specialist,59,0.789
Specialist,60,0.868
Specialist,61,0.854
Specialist,62,0.858
Specialist,63,0.796
Specialist,64,0.729
Specialist,65,0.804
Specialist,66,0.769
Specialist,67,0.800
Specialist,68,0.858
Specialist,69,0.824
Specialist,70,0.830
Specialist,71,0.804
Specialist,72,0.749
Specialist,73,0.876
Specialist,74,0.918
Specialist,75,0.710
Specialist,76,0.816
Specialist,77,0.758
Specialist,78,0.834
Specialist,79,0.867
Specialist,80,0.819
Specialist,81,0.754
Specialist,82,0.861
Specialist,83,0.732
Specialist,84,0.745
Specialist,85,0.722
Specialist,86,0.812
Specialist,87,0.744
Specialist,88,0.802
Specialist,89,0.750
Specialist,90,0.723
Specialist,91,0.717
Specialist,92,0.700
Specialist,93,0.832
Specialist,94,0.743
Specialist,95,0.742
Specialist,96,0.846
Specialist,97,0.723
Specialist,98,0.700
Specialist,99,0.816
Specialist,100,0.722
Specialist,101,0.822
Specialist,102,0.852
Specialist,103,0.841
Specialist,104,0.864
Specialist,105,0.837
Specialist,106,0.822
Specialist,107,0.727
Specialist,108,0.785
Specialist,109,0.725
Specialist,110,0.715
Specialist,111,0.850
Specialist,112,0.711
Specialist,113,0.840
Specialist,114,0.815
Specialist,115,0.707
Specialist,116,0.829
Specialist,117,0.930
Specialist,118,0.847
Specialist,119,0.830
Specialist,120,0.760
Specialist,121,0.859
Specialist,122,0.798
Specialist,123,0.875
Specialist,124,0.720
Specialist,125,0.803
Specialist,126,0.808
Specialist,127,0.860
Specialist,128,0.816
Specialist,129,0.769
Specialist,130,0.751
Specialist,131,0.759
Specialist,132,0.838
Proposed,1,0.770
Proposed,2,0.850
Proposed,3,0.848
Proposed,4,0.766
Proposed,5,0.822
Proposed,6,0.827
Proposed,7,0.830
Proposed,8,0.818
Proposed,9,0.822
Proposed,10,0.755
Proposed,11,0.866
Proposed,12,0.842
Proposed,13,0.813
Proposed,14,0.787
Proposed,15,0.851
Proposed,16,0.760
Proposed,17,0.733
Proposed,18,0.843
Proposed,19,0.822
Proposed,20,0.794
Proposed,21,0.806
Proposed,22,0.862
Proposed,23,0.857
Proposed,24,0.832
Proposed,25,0.730
Proposed,26,0.828
Proposed,27,0.822
Proposed,28,0.769
Proposed,29,0.819
Proposed,30,0.898
Proposed,31,0.864
Proposed,32,0.797
Proposed,33,0.842
Proposed,34,0.826
Proposed,35,0.793
Proposed,36,0.853
Proposed,37,0.726
Proposed,38,0.864
Proposed,39,0.873
Proposed,40,0.753
Proposed,41,0.833
Proposed,42,0.807
Proposed,43,0.840
Proposed,44,0.809
Proposed,45,0.882
Proposed,46,0.871
Proposed,47,0.831
Proposed,48,0.871
Proposed,49,0.851
Proposed,50,0.763
Proposed,51,0.834
Proposed,52,0.849
Proposed,53,0.794
Proposed,54,0.768
Proposed,55,0.757
Proposed,56,0.798
Proposed,57,0.846
Proposed,58,0.857
Proposed,59,0.717
Proposed,60,0.832
Proposed,61,0.833
Proposed,62,0.878
Proposed,63,0.780
Proposed,64,0.836
Proposed,65,0.830
Proposed,66,0.873
Proposed,67,0.826
Proposed,68,0.823
Proposed,69,0.789
Proposed,70,0.854
Proposed,71,0.816
Proposed,72,0.854
Proposed,73,0.865
Proposed,74,0.807
Proposed,75,0.852
Proposed,76,0.746
Proposed,77,0.806
Proposed,78,0.819
Proposed,79,0.733
Proposed,80,0.873
Proposed,81,0.882
Proposed,82,0.790
Proposed,83,0.874
Proposed,84,0.838
Proposed,85,0.774
Proposed,86,0.857
Proposed,87,0.867
Proposed,88,0.902
Proposed,89,0.764
Proposed,90,0.846
Proposed,91,0.817
Proposed,92,0.862
Proposed,93,0.872
Proposed,94,0.759
Proposed,95,0.812
Proposed,96,0.827
Proposed,97,0.844
Proposed,98,0.787
Proposed,99,0.780
Proposed,100,0.844
Proposed,101,0.772
Proposed,102,0.826
Proposed,103,0.824
Proposed,104,0.800
Proposed,105,0.801
Proposed,106,0.833
Proposed,107,0.845
Proposed,108,0.802
Proposed,109,0.736
Proposed,110,0.830
Proposed,111,0.840
Proposed,112,0.867
Proposed,113,0.835
Proposed,114,0.852
Proposed,115,0.755
Proposed,116,0.846
Proposed,117,0.686
Proposed,118,0.744
Proposed,119,0.828
Proposed,120,0.836
Proposed,121,0.849
Proposed,122,0.758
Proposed,123,0.831
Proposed,124,0.849
Proposed,125,0.872
Proposed,126,0.865
Proposed,127,0.803
Proposed,128,0.772
Proposed,129,0.830
Proposed,130,0.850
Proposed,131,0.837
Proposed,132,0.804
